Lexeme          LineNo TokenName              ValueIfNumber Parent                 isLeaf   Node                  
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 declaration           	 no  	 dataType              	 
:              	 6  	 TK_COLON              	 ----      	 declaration           	 yes 	 TK_COLON              	 
b5b567         	 6  	 TK_ID                 	 ----      	 declaration           	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 global_or_not         	 yes 	 eps                   	 
----           	 0  	 global_or_not         	 ----      	 declaration           	 no  	 global_or_not         	 
;              	 6  	 TK_SEM                	 ----      	 declaration           	 yes 	 TK_SEM                	 
----           	 0  	 declarations          	 ----      	 stmts                 	 no  	 declarations          	 
eps            	 0  	 eps                   	 ----      	 declarations          	 yes 	 eps                   	 
----           	 0  	 declarations          	 ----      	 declarations          	 no  	 declarations          	 
b5b567         	 7  	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 7  	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
1              	 7  	 TK_NUM                	 1         	 var                   	 yes 	 TK_NUM                	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
;              	 7  	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 stmts                 	 no  	 otherStmts            	 
d3             	 8  	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 8  	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
0.00           	 8  	 TK_RNUM               	 0.00000   	 var                   	 yes 	 TK_RNUM               	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
;              	 8  	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
while          	 9  	 TK_WHILE              	 ----      	 iterativeStmt         	 yes 	 TK_WHILE              	 
----           	 0  	 iterativeStmt         	 ----      	 stmt                  	 no  	 iterativeStmt         	 
(              	 9  	 TK_OP                 	 ----      	 iterativeStmt         	 yes 	 TK_OP                 	 
b5b567         	 9  	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 booleanExpression     	 no  	 var                   	 
----           	 0  	 booleanExpression     	 ----      	 iterativeStmt         	 no  	 booleanExpression     	 
<=             	 9  	 TK_LE                 	 ----      	 relationalOp          	 yes 	 TK_LE                 	 
----           	 0  	 relationalOp          	 ----      	 booleanExpression     	 no  	 relationalOp          	 
d5cc34         	 9  	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 booleanExpression     	 no  	 var                   	 
)              	 9  	 TK_CL                 	 ----      	 iterativeStmt         	 yes 	 TK_CL                 	 
read           	 10 	 TK_READ               	 ----      	 ioStmt                	 yes 	 TK_READ               	 
----           	 0  	 ioStmt                	 ----      	 stmt                  	 no  	 ioStmt                	 
(              	 10 	 TK_OP                 	 ----      	 ioStmt                	 yes 	 TK_OP                 	 
c3bd           	 10 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 ioStmt                	 no  	 var                   	 
)              	 10 	 TK_CL                 	 ----      	 ioStmt                	 yes 	 TK_CL                 	 
;              	 10 	 TK_SEM                	 ----      	 ioStmt                	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 iterativeStmt         	 no  	 stmt                  	 
d3             	 11 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 11 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
d3             	 11 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
+              	 11 	 TK_PLUS               	 ----      	 lowPrecedenceOp       	 yes 	 TK_PLUS               	 
----           	 0  	 lowPrecedenceOp       	 ----      	 expPrime              	 no  	 lowPrecedenceOp       	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
c3bd           	 11 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 expPrime              	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 expPrime              	 no  	 expPrime              	 
;              	 11 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 iterativeStmt         	 no  	 otherStmts            	 
b5b567         	 12 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 12 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
b5b567         	 12 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
+              	 12 	 TK_PLUS               	 ----      	 lowPrecedenceOp       	 yes 	 TK_PLUS               	 
----           	 0  	 lowPrecedenceOp       	 ----      	 expPrime              	 no  	 lowPrecedenceOp       	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
1              	 12 	 TK_NUM                	 1         	 var                   	 yes 	 TK_NUM                	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 expPrime              	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 expPrime              	 no  	 expPrime              	 
;              	 12 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
eps            	 0  	 eps                   	 ----      	 otherStmts            	 yes 	 eps                   	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
endwhile       	 13 	 TK_ENDWHILE           	 ----      	 iterativeStmt         	 yes 	 TK_ENDWHILE           	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
eps            	 0  	 eps                   	 ----      	 otherStmts            	 yes 	 eps                   	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
return         	 14 	 TK_RETURN             	 ----      	 returnStmt            	 yes 	 TK_RETURN             	 
----           	 0  	 returnStmt            	 ----      	 stmts                 	 no  	 returnStmt            	 
[              	 14 	 TK_SQL                	 ----      	 optionalReturn        	 yes 	 TK_SQL                	 
----           	 0  	 optionalReturn        	 ----      	 returnStmt            	 no  	 optionalReturn        	 
d3             	 14 	 TK_ID                 	 ----      	 idList                	 yes 	 TK_ID                 	 
----           	 0  	 idList                	 ----      	 optionalReturn        	 no  	 idList                	 
eps            	 0  	 eps                   	 ----      	 more_ids              	 yes 	 eps                   	 
----           	 0  	 more_ids              	 ----      	 idList                	 no  	 more_ids              	 
]              	 14 	 TK_SQR                	 ----      	 optionalReturn        	 yes 	 TK_SQR                	 
;              	 14 	 TK_SEM                	 ----      	 returnStmt            	 yes 	 TK_SEM                	 
end            	 15 	 TK_END                	 ----      	 function              	 yes 	 TK_END                	 
----           	 0  	 otherFunctions        	 ----      	 program               	 no  	 otherFunctions        	 
_sumNAa        	 17 	 TK_FUNID              	 ----      	 function              	 yes 	 TK_FUNID              	 
----           	 0  	 function              	 ----      	 otherFunctions        	 no  	 function              	 
input          	 17 	 TK_INPUT              	 ----      	 input_par             	 yes 	 TK_INPUT              	 
----           	 0  	 input_par             	 ----      	 function              	 no  	 input_par             	 
parameter      	 17 	 TK_PARAMETER          	 ----      	 input_par             	 yes 	 TK_PARAMETER          	 
list           	 17 	 TK_LIST               	 ----      	 input_par             	 yes 	 TK_LIST               	 
[              	 17 	 TK_SQL                	 ----      	 input_par             	 yes 	 TK_SQL                	 
int            	 17 	 TK_INT                	 ----      	 primitiveDataType     	 yes 	 TK_INT                	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 parameter_list        	 no  	 dataType              	 
----           	 0  	 parameter_list        	 ----      	 input_par             	 no  	 parameter_list        	 
d5cc34         	 17 	 TK_ID                 	 ----      	 parameter_list        	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 remaining_list        	 yes 	 eps                   	 
----           	 0  	 remaining_list        	 ----      	 parameter_list        	 no  	 remaining_list        	 
]              	 17 	 TK_SQR                	 ----      	 input_par             	 yes 	 TK_SQR                	 
output         	 18 	 TK_OUTPUT             	 ----      	 output_par            	 yes 	 TK_OUTPUT             	 
----           	 0  	 output_par            	 ----      	 function              	 no  	 output_par            	 
parameter      	 18 	 TK_PARAMETER          	 ----      	 output_par            	 yes 	 TK_PARAMETER          	 
list           	 18 	 TK_LIST               	 ----      	 output_par            	 yes 	 TK_LIST               	 
[              	 18 	 TK_SQL                	 ----      	 output_par            	 yes 	 TK_SQL                	 
real           	 18 	 TK_REAL               	 ----      	 primitiveDataType     	 yes 	 TK_REAL               	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 parameter_list        	 no  	 dataType              	 
----           	 0  	 parameter_list        	 ----      	 output_par            	 no  	 parameter_list        	 
d3             	 18 	 TK_ID                 	 ----      	 parameter_list        	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 remaining_list        	 yes 	 eps                   	 
----           	 0  	 remaining_list        	 ----      	 parameter_list        	 no  	 remaining_list        	 
]              	 18 	 TK_SQR                	 ----      	 output_par            	 yes 	 TK_SQR                	 
;              	 18 	 TK_SEM                	 ----      	 function              	 yes 	 TK_SEM                	 
eps            	 0  	 eps                   	 ----      	 typeDefinitions       	 yes 	 eps                   	 
----           	 0  	 typeDefinitions       	 ----      	 stmts                 	 no  	 typeDefinitions       	 
----           	 0  	 stmts                 	 ----      	 function              	 no  	 stmts                 	 
type           	 19 	 TK_TYPE               	 ----      	 declaration           	 yes 	 TK_TYPE               	 
----           	 0  	 declaration           	 ----      	 declarations          	 no  	 declaration           	 
int            	 19 	 TK_INT                	 ----      	 primitiveDataType     	 yes 	 TK_INT                	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 declaration           	 no  	 dataType              	 
:              	 19 	 TK_COLON              	 ----      	 declaration           	 yes 	 TK_COLON              	 
b5b567         	 19 	 TK_ID                 	 ----      	 declaration           	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 global_or_not         	 yes 	 eps                   	 
----           	 0  	 global_or_not         	 ----      	 declaration           	 no  	 global_or_not         	 
;              	 19 	 TK_SEM                	 ----      	 declaration           	 yes 	 TK_SEM                	 
----           	 0  	 declarations          	 ----      	 stmts                 	 no  	 declarations          	 
eps            	 0  	 eps                   	 ----      	 declarations          	 yes 	 eps                   	 
----           	 0  	 declarations          	 ----      	 declarations          	 no  	 declarations          	 
b5b567         	 20 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 20 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
1              	 20 	 TK_NUM                	 1         	 var                   	 yes 	 TK_NUM                	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
;              	 20 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 stmts                 	 no  	 otherStmts            	 
d3             	 21 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 21 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
0.00           	 21 	 TK_RNUM               	 0.00000   	 var                   	 yes 	 TK_RNUM               	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
;              	 21 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
while          	 22 	 TK_WHILE              	 ----      	 iterativeStmt         	 yes 	 TK_WHILE              	 
----           	 0  	 iterativeStmt         	 ----      	 stmt                  	 no  	 iterativeStmt         	 
(              	 22 	 TK_OP                 	 ----      	 iterativeStmt         	 yes 	 TK_OP                 	 
b5b567         	 22 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 booleanExpression     	 no  	 var                   	 
----           	 0  	 booleanExpression     	 ----      	 iterativeStmt         	 no  	 booleanExpression     	 
<=             	 22 	 TK_LE                 	 ----      	 relationalOp          	 yes 	 TK_LE                 	 
----           	 0  	 relationalOp          	 ----      	 booleanExpression     	 no  	 relationalOp          	 
d5cc34         	 22 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 booleanExpression     	 no  	 var                   	 
)              	 22 	 TK_CL                 	 ----      	 iterativeStmt         	 yes 	 TK_CL                 	 
read           	 23 	 TK_READ               	 ----      	 ioStmt                	 yes 	 TK_READ               	 
----           	 0  	 ioStmt                	 ----      	 stmt                  	 no  	 ioStmt                	 
(              	 23 	 TK_OP                 	 ----      	 ioStmt                	 yes 	 TK_OP                 	 
c3bd           	 23 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 ioStmt                	 no  	 var                   	 
)              	 23 	 TK_CL                 	 ----      	 ioStmt                	 yes 	 TK_CL                 	 
;              	 23 	 TK_SEM                	 ----      	 ioStmt                	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 iterativeStmt         	 no  	 stmt                  	 
d3             	 24 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 24 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
d3             	 24 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
+              	 24 	 TK_PLUS               	 ----      	 lowPrecedenceOp       	 yes 	 TK_PLUS               	 
----           	 0  	 lowPrecedenceOp       	 ----      	 expPrime              	 no  	 lowPrecedenceOp       	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
c3bd           	 24 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
